Total payé réel;Code pays de livraison
125.700000;FR
125.700000;FR
125.700000;FR
290.290000;FR
290.290000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
366.250000;FR
90.920000;FR
90.920000;FR
157.640000;BE
157.640000;BE
157.640000;BE
157.640000;BE
80.640000;BE
80.640000;BE
80.640000;BE
80.640000;BE
61.860000;BE
61.860000;BE
131.870000;BE
131.870000;BE
131.870000;BE
131.870000;BE
131.870000;BE
276.950000;FR
276.950000;FR
276.950000;FR
175.290000;FR
175.290000;FR
175.290000;FR
175.290000;FR
175.290000;FR
80.920000;FR
80.920000;FR
80.920000;FR
59.350000;LU
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
256.170000;FR
73.960000;FR
73.960000;FR
73.960000;FR
73.960000;FR
392.720000;FR
392.720000;FR
392.720000;FR
100.580000;FR
100.580000;FR
24.420000;FR
174.290000;FR
174.290000;FR
305.290000;FR
305.290000;FR
305.290000;FR
169.040000;FR
169.040000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
57.420000;FR
75.170000;FR
75.170000;FR
75.170000;FR
24.420000;FR
38.580000;ES
38.580000;ES
284.000000;FR
284.000000;FR
40.040000;FR
40.040000;FR
137.640000;BE
137.640000;BE
80.920000;FR
80.920000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
263.400000;FR
80.640000;FR
80.640000;FR
148.640000;FR
148.640000;FR
148.640000;FR
148.640000;FR
148.640000;FR
148.640000;FR
148.640000;FR
34.920000;FR
34.920000;FR
46.580000;ES
46.580000;ES
178.290000;FR
178.290000;FR
178.290000;FR
178.290000;FR
178.290000;FR
53.670000;FR
80.920000;FR
80.920000;FR
80.920000;FR
75.170000;FR
75.170000;FR
24.420000;FR
57.420000;FR
57.420000;FR
57.420000;FR
133.640000;FR
133.640000;FR
133.640000;FR
174.290000;FR
174.290000;FR
148.490000;FR
148.490000;FR
64.920000;FR
64.920000;FR
64.920000;FR
75.920000;FR
75.920000;FR
75.920000;FR
75.920000;FR
171.770000;FR
171.770000;FR
171.770000;FR
171.770000;FR
171.770000;FR
171.770000;FR
171.770000;FR
171.770000;FR
246.770000;FR
246.770000;FR
246.770000;FR
246.770000;FR
219.290000;FR
219.290000;FR
124.320000;FR
124.320000;FR
124.320000;FR
80.920000;FR
80.920000;FR
80.920000;FR
169.040000;FR
169.040000;FR
169.040000;FR
169.040000;FR
169.040000;FR
169.040000;FR
169.040000;FR
42.920000;FR
42.920000;FR
57.420000;FR
388.700000;FR
388.700000;FR
388.700000;FR
388.700000;FR
366.250000;FR
366.250000;FR
366.250000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
80.920000;FR
80.920000;FR
93.240000;FR
93.240000;FR
93.240000;FR
145.790000;BE
145.790000;BE
145.790000;BE
145.790000;BE
105.630000;FR
90.630000;FR
90.630000;FR
90.630000;FR
43.920000;FR
34.920000;FR
34.920000;FR
123.780000;PL
298.770000;FR
298.770000;FR
24.420000;FR
24.420000;FR
24.420000;FR
133.640000;FR
133.640000;FR
145.790000;FR
145.790000;FR
145.790000;FR
388.700000;BE
388.700000;BE
388.700000;BE
388.700000;BE
243.270000;FR
243.270000;FR
77.380000;ES
77.380000;ES
80.920000;FR
80.920000;FR
145.790000;FR
145.790000;FR
145.790000;FR
145.790000;FR
145.790000;FR
145.790000;FR
145.790000;FR
177.640000;FR
177.640000;FR
169.040000;FR
169.040000;FR
169.040000;FR
99.140000;BE
99.140000;BE
99.140000;BE
99.140000;BE
177.640000;FR
177.640000;FR
34.920000;FR
34.920000;FR
92.030000;FR
92.030000;FR
182.390000;FR
182.390000;FR
86.330000;US
80.920000;FR
80.920000;FR
90.920000;FR
90.920000;FR
90.920000;FR
24.420000;BE
90.920000;BE
90.920000;BE
113.040000;FR
113.040000;FR
113.040000;FR
113.040000;FR
113.040000;FR
340.200000;FR
340.200000;FR
340.200000;FR
340.200000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
144.890000;FR
110.430000;ES
110.430000;ES
110.430000;ES
110.430000;ES
57.420000;FR
57.420000;FR
57.420000;FR
90.920000;FR
90.920000;FR
90.920000;FR
188.090000;FR
188.090000;FR
188.090000;FR
188.090000;FR
188.090000;FR
188.090000;FR
66.080000;ES
66.080000;ES
66.080000;ES
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
80.920000;BE
80.920000;BE
103.020000;FR
103.020000;FR
103.020000;FR
103.020000;FR
103.020000;FR
99.290000;FR
99.290000;FR
99.290000;FR
174.290000;FR
174.290000;FR
126.140000;FR
126.140000;FR
126.140000;FR
126.140000;FR
94.580000;ES
94.580000;ES
94.580000;ES
137.140000;ES
137.140000;ES
43.920000;FR
43.920000;FR
422.970000;FR
422.970000;FR
422.970000;FR
71.420000;BE
71.420000;BE
94.920000;FR
94.920000;FR
94.920000;FR
94.920000;FR
94.920000;FR
42.920000;FR
290.290000;FR
290.290000;FR
290.290000;FR
290.290000;FR
290.290000;FR
290.290000;FR
290.290000;FR
290.290000;FR
90.920000;FR
90.920000;FR
90.920000;FR
149.410000;ES
149.410000;ES
149.410000;ES
149.410000;ES
149.410000;ES
149.410000;ES
40.020000;FR
40.020000;FR
103.340000;FR
103.340000;FR
103.340000;FR
103.340000;FR
103.340000;FR
34.920000;FR
34.920000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
57.420000;FR
57.420000;FR
57.420000;FR
80.640000;FR
80.640000;FR
80.640000;FR
80.640000;FR
174.290000;FR
174.290000;FR
50.280000;FR
288.290000;BE
288.290000;BE
288.290000;BE
288.290000;BE
288.290000;BE
288.290000;BE
288.290000;BE
288.290000;BE
288.290000;BE
34.170000;FR
219.290000;FR
219.290000;FR
128.420000;FR
128.420000;FR
128.420000;FR
177.640000;FR
177.640000;FR
177.640000;FR
66.350000;FR
66.350000;FR
66.350000;FR
66.350000;FR
42.920000;FR
71.020000;FR
71.020000;FR
133.640000;FR
133.640000;FR
133.640000;FR
90.630000;FR
90.630000;FR
94.920000;FR
94.920000;FR
94.920000;FR
94.920000;FR
94.920000;FR
52.630000;FR
52.630000;FR
138.290000;FR
138.290000;FR
138.290000;FR
138.290000;FR
138.290000;FR
138.290000;FR
138.290000;FR
177.640000;FR
177.640000;FR
153.420000;FR
153.420000;FR
82.320000;FR
82.320000;FR
74.920000;FR
74.920000;FR
74.920000;FR
74.920000;FR
80.640000;FR
80.640000;FR
80.640000;FR
80.640000;FR
28.120000;FR
24.420000;FR
80.920000;FR
80.920000;FR
80.920000;FR
93.150000;FR
93.150000;FR
85.420000;FR
85.420000;FR
85.420000;FR
85.420000;FR
85.420000;FR
66.080000;ES
66.080000;ES
66.080000;ES
177.640000;FR
177.640000;FR
177.640000;FR
177.640000;FR
90.920000;BE
90.920000;BE
24.420000;FR
169.040000;FR
169.040000;FR
75.170000;FR
75.170000;FR
143.240000;FR
143.240000;FR
143.240000;FR
133.640000;FR
133.640000;FR
94.580000;ES
94.580000;ES
90.920000;FR
90.920000;FR
90.920000;FR
90.920000;FR
34.920000;FR
34.920000;FR
91.640000;FR
91.640000;FR
91.640000;FR
91.640000;FR
178.840000;FR
178.840000;FR
57.420000;FR
85.490000;FR
85.490000;FR
176.630000;FR
176.630000;FR
176.630000;FR
176.630000;FR
90.920000;FR
90.920000;FR
18.920000;FR
149.630000;FR
149.630000;FR
123.340000;BE
123.340000;BE
123.340000;BE
123.340000;BE
123.340000;BE
133.640000;FR
133.640000;FR
253.290000;FR
253.290000;FR
253.290000;FR
253.290000;FR
38.420000;FR
38.420000;FR
100.630000;FR
100.630000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
144.840000;FR
144.840000;FR
144.840000;FR
144.840000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
82.320000;FR
82.320000;FR
24.420000;FR
100.830000;FR
100.830000;FR
100.830000;FR
100.830000;FR
120.120000;FR
120.120000;FR
120.120000;FR
120.120000;FR
120.120000;FR
44.630000;FR
44.630000;FR
51.580000;FR
51.580000;FR
90.920000;BE
90.920000;BE
90.920000;BE
302.890000;FR
302.890000;FR
302.890000;FR
302.890000;FR
302.890000;FR
302.890000;FR
302.890000;FR
302.890000;FR
169.040000;FR
169.040000;FR
169.040000;FR
90.630000;FR
90.630000;FR
61.680000;BE
90.920000;FR
90.920000;FR
90.920000;FR
90.920000;FR
57.420000;FR
41.020000;FR
186.630000;FR
186.630000;FR
67.130000;FR
67.130000;FR
67.130000;FR
58.080000;ES
58.080000;ES
58.080000;ES
18.920000;FR
75.170000;FR
75.170000;FR
67.130000;FR
133.640000;FR
133.640000;FR
18.920000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
373.770000;FR
75.170000;BE
75.170000;BE
75.170000;BE
86.620000;FR
86.620000;FR
86.620000;FR
183.140000;ES
183.140000;ES
183.140000;ES
183.140000;ES
86.620000;BE
86.620000;BE
86.620000;BE
90.630000;FR
90.630000;FR
202.290000;FR
202.290000;FR
202.290000;FR
202.290000;FR
80.970000;FR
80.970000;FR
80.970000;FR
80.970000;FR
291.550000;BE
291.550000;BE
291.550000;BE
291.550000;BE
291.550000;BE
291.550000;BE
291.550000;BE
291.550000;BE
291.550000;BE
64.920000;FR
64.920000;FR
