Commande n°;Mode de paiement;Numéro de transport;Total payé réel;Total produits;Code pays de livraison
4609;Verifone e-commerce;XF003526665FR;532.330000;459.600000;GP
4610;Verifone e-commerce;9A00564542305;560.320000;480.000000;FR
4610;Verifone e-commerce;9A00564542305;560.320000;480.000000;FR
4611;Verifone e-commerce;84337211;187.790000;151.380000;FR
4611;Verifone e-commerce;84337211;187.790000;151.380000;FR
4611;Verifone e-commerce;84337211;187.790000;151.380000;FR
4612;Verifone e-commerce;XW197232303JB;57.980000;36.230000;FR
4612;Verifone e-commerce;XW197232303JB;57.980000;36.230000;FR
4613;Virement bancaire;9A00564641749;504.320000;409.600000;FR
4613;Virement bancaire;9A00564641749;504.320000;409.600000;FR
4614;Verifone e-commerce;XW199420264JB;1436.500000;1185.000000;FR
4614;Verifone e-commerce;XW199420264JB;1436.500000;1185.000000;FR
