Total payé réel;Total transport
278.040000;0.000000
278.040000;0.000000
278.040000;0.000000
278.040000;0.000000
141.740000;5.260000
141.740000;5.260000
141.740000;5.260000
141.740000;5.260000
141.740000;5.260000
81.000000;4.980000
81.000000;4.980000
81.000000;4.980000
193.070000;13.550000
193.070000;13.550000
193.070000;13.550000
193.070000;13.550000
193.070000;13.550000
193.070000;13.550000
193.070000;13.550000
236.040000;13.550000
236.040000;13.550000
236.040000;13.550000
236.040000;13.550000
236.040000;13.550000
236.040000;13.550000
236.040000;13.550000
53.610000;15.600000
53.610000;15.600000
101.480000;10.460000
101.480000;10.460000
101.480000;10.460000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
514.950000;0.000000
54.280000;4.780000
54.280000;4.780000
54.280000;4.780000
234.890000;6.680000
234.890000;6.680000
234.890000;6.680000
234.890000;6.680000
234.890000;6.680000
253.440000;0.000000
253.440000;0.000000
97.490000;11.480000
97.490000;11.480000
188.380000;4.780000
188.380000;4.780000
82.750000;4.780000
82.750000;4.780000
82.750000;4.780000
201.200000;6.680000
201.200000;6.680000
201.200000;6.680000
141.240000;6.680000
141.240000;6.680000
141.240000;6.680000
63.280000;4.780000
63.280000;4.780000
63.280000;4.780000
47.510000;9.500000
47.510000;9.500000
133.620000;15.600000
133.620000;15.600000
133.620000;15.600000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
369.540000;0.000000
38.780000;4.780000
38.780000;4.780000
38.780000;4.780000
222.580000;4.780000
166.700000;6.680000
166.700000;6.680000
124.230000;22.850000
124.230000;22.850000
124.230000;22.850000
152.200000;14.680000
152.200000;14.680000
152.200000;14.680000
170.090000;6.680000
170.090000;6.680000
170.090000;6.680000
91.240000;4.780000
91.240000;4.780000
